Suburb,Rooms,Price,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,Propertycount
Abbotsford,2,1480000,2.5,3067,2,1,1,202,,4019
Abbotsford,2,1035000,2.5,3067,2,1,0,156,79,4019
Abbotsford,3,1465000,2.5,3067,3,2,0,134,150,4019
Abbotsford,3,850000,2.5,3067,3,2,1,94,,4019
Abbotsford,4,1600000,2.5,3067,3,1,2,120,142,4019
Abbotsford,2,941000,2.5,3067,2,1,0,181,,4019
Abbotsford,3,1876000,2.5,3067,4,2,0,245,210,4019
Abbotsford,2,1636000,2.5,3067,2,1,2,256,107,4019
Abbotsford,1,300000,2.5,3067,1,1,1,0,,4019
Abbotsford,2,1097000,2.5,3067,3,1,2,220,75,4019
Abbotsford,2,700000,2.5,3067,2,2,1,0,,4019
Abbotsford,3,1350000,2.5,3067,3,2,2,214,190,4019
Abbotsford,2,750000,2.5,3067,2,2,1,0,94,4019
Abbotsford,2,1172500,2.5,3067,2,1,1,195,,4019
Abbotsford,1,441000,2.5,3067,1,1,1,0,,4019
Abbotsford,2,1310000,2.5,3067,2,1,2,238,97,4019
Abbotsford,3,1200000,2.5,3067,3,2,1,113,110,4019
Abbotsford,3,1176500,2.5,3067,2,1,1,138,105,4019
Abbotsford,3,955000,2.5,3067,3,1,0,183,,4019
Abbotsford,2,890000,2.5,3067,2,1,1,150,73,4019
Abbotsford,4,1330000,2.5,3067,4,2,2,780,135,4019
Abbotsford,3,900000,2.5,3067,3,2,2,0,,4019
Abbotsford,3,1090000,2.5,3067,3,2,2,4290,27,4019
Abbotsford,2,500000,2.5,3067,2,1,1,0,60,4019
Abbotsford,2,1100000,2.5,3067,2,2,1,124,135,4019
Abbotsford,2,1315000,2.5,3067,2,1,0,147,85,4019
Abbotsford,1,426000,2.5,3067,1,1,1,0,,4019
Abbotsford,3,1447500,2.5,3067,3,3,1,166,174,4019
Abbotsford,1,457000,2.5,3067,1,1,1,0,50,4019
Abbotsford,2,1135000,2.5,3067,2,2,2,98,128,4019
Abbotsford,4,1542000,2.5,3067,4,3,1,0,,4019
Abbotsford,3,1290000,2.5,3067,3,2,2,147,18,4019
Abbotsford,3,1290000,2.5,3067,3,1,1,168,124,4019
Abbotsford,1,470000,2.5,3067,1,1,1,0,50,4019
Abbotsford,2,1180000,2.5,3067,2,1,0,162,91,4019
Abbotsford,3,1195000,2.5,3067,3,2,1,120,128,4019
Abbotsford,2,1012500,2.5,3067,2,1,0,182,82,4019
Abbotsford,2,1030000,2.5,3067,2,1,1,172,81,4019
Airport West,3,840000,13.5,3042,3,2,1,303,225,3464
Airport West,3,730000,13.5,3042,3,2,1,0,145,3464
Airport West,3,770000,13.5,3042,3,2,1,0,145,3464
Airport West,2,603000,13.5,3042,2,1,1,272,84,3464
Airport West,3,700000,13.5,3042,3,2,2,239,134,3464
Airport West,3,600000,13.5,3042,2,1,1,290,116,3464
Airport West,2,500000,13.5,3042,2,1,1,168,86,3464
Airport West,3,720000,13.5,3042,2,1,1,620,,3464
Airport West,4,785000,13.5,3042,3,1,2,597,127,3464
Airport West,6,725000,13.5,3042,6,3,2,976,186,3464
Airport West,2,450000,13.5,3042,2,1,1,110,90,3464
Airport West,2,515000,13.5,3042,2,1,1,141,73,3464
Airport West,2,530000,13.5,3042,2,1,1,120,94,3464
Airport West,3,895000,13.5,3042,3,1,6,1063,133,3464
Airport West,3,805000,13.5,3042,3,1,1,0,105,3464
Airport West,3,752000,13.5,3042,3,1,1,265,130,3464
Airport West,2,440000,13.5,3042,2,1,1,192,,3464
Airport West,5,755000,13.5,3042,3,2,2,596,,3464
Airport West,3,700000,13.5,3042,3,2,2,165,133,3464
Airport West,3,830000,13.5,3042,3,1,2,971,113,3464
Airport West,2,462500,13.5,3042,2,1,1,164,,3464
Airport West,3,670000,13.5,3042,3,2,2,657,,3464
Airport West,2,675000,13.5,3042,2,1,1,612,100,3464
Airport West,3,1042000,13.5,3042,3,2,5,612,174,3464
Airport West,3,910000,13.5,3042,3,1,1,775,,3464
Airport West,4,773000,13.5,3042,5,3,4,531,309,3464
Airport West,3,810000,13.5,3042,3,3,2,555,192,3464
Airport West,3,715000,13.5,3042,3,2,2,422,126,3464
Airport West,3,790000,13.5,3042,3,1,3,614,,3464
Airport West,3,540000,13.5,3042,2,2,1,161,101,3464
Airport West,3,825000,13.5,3042,3,2,1,293,102,3464
Airport West,3,685000,13.5,3042,3,1,1,579,113,3464
Airport West,3,805000,13.5,3042,3,1,1,623,,3464
Airport West,2,510000,13.5,3042,2,1,1,141,76,3464
Airport West,3,612000,13.5,3042,3,2,1,212,,3464
Airport West,3,662000,13.5,3042,3,1,2,612,,3464
Airport West,4,978000,13.5,3042,4,3,2,532,,3464
Airport West,3,720000,13.5,3042,3,1,1,585,,3464
Airport West,4,765000,13.5,3042,4,1,2,509,,3464
Airport West,4,900000,13.5,3042,4,2,3,628,146,3464
Albert Park,2,1275000,3.3,3206,2,1,0,120,82,3280
Albert Park,2,1455000,3.3,3206,2,1,0,159,,3280
Albert Park,3,2850000,3.3,3206,3,2,0,211,198,3280
Albert Park,3,1850000,3.3,3206,3,2,0,128,133,3280
Albert Park,2,1436000,3.3,3206,2,1,0,130,81,3280
Albert Park,2,1110000,3.3,3206,1,1,0,147,,3280
Albert Park,2,1550000,3.3,3206,2,1,1,167,,3280
Albert Park,4,2300000,3.3,3206,4,2,1,153,180,3280
Albert Park,3,1550000,3.3,3206,3,2,2,718,,3280
Albert Park,3,1800000,3.3,3206,3,2,1,132,159,3280
Albert Park,2,2120000,3.3,3206,2,1,1,199,107,3280
Albert Park,3,1800000,3.3,3206,3,1,1,253,,3280
Albert Park,3,1800000,3.3,3206,3,2,1,90,122,3280
Albert Park,2,1810000,3.3,3206,2,1,0,240,,3280
Albert Park,3,2615000,3.3,3206,3,2,1,177,181,3280
Albert Park,5,2100000,3.3,3206,5,2,1,237,,3280
Albert Park,3,1300000,3.3,3206,3,1,0,129,,3280
Albert Park,3,1370000,3.3,3206,3,2,2,0,85,3280
Albert Park,2,1000000,3.3,3206,2,1,0,288,,3280
Albert Park,3,2575000,3.3,3206,3,2,1,228,,3280
Albert Park,2,1322500,3.3,3206,2,1,0,149,98,3280
Albert Park,2,1562500,3.3,3206,2,1,0,141,83,3280
Albert Park,3,2000000,3.3,3206,3,2,1,211,147,3280
Albert Park,3,1900000,3.3,3206,3,1,0,209,,3280
Albert Park,3,3010000,3.3,3206,3,2,0,147,146,3280
Albert Park,4,2800000,3.3,3206,4,3,1,327,254,3280
Albert Park,2,647000,3.3,3206,2,1,1,0,,3280
Albert Park,3,2100000,3.3,3206,2,1,1,120,123,3280
Albert Park,3,2000000,3.3,3206,3,1,1,238,131,3280
Albert Park,1,442500,3.3,3206,1,1,0,0,34,3280
Albert Park,4,4735000,3.3,3206,4,2,1,330,207,3280
Albert Park,2,1340000,3.3,3206,2,1,0,136,,3280
Albert Park,3,1801000,3.3,3206,3,1,1,202,,3280
Albert Park,3,1532000,3.3,3206,3,3,1,0,,3280
Albert Park,3,3755000,3.3,3206,3,2,2,325,,3280
Albert Park,4,2140000,3.3,3206,3,2,1,183,145,3280
Albert Park,2,1750000,3.3,3206,2,1,1,162,,3280
Albert Park,2,980000,3.3,3206,2,1,0,79,68,3280
Albert Park,3,2030000,3.3,3206,3,2,0,152,,3280
Albert Park,3,1740000,3.3,3206,3,2,2,147,134,3280
Albert Park,3,2800000,3.3,3206,3,3,1,0,,3280
Albert Park,1,985000,3.3,3206,1,1,0,81,54,3280
Alphington,4,2000000,6.4,3078,3,2,4,853,263,2211
Alphington,3,1110000,6.4,3078,3,2,2,208,,2211
Alphington,3,1492000,6.4,3078,3,2,2,411,,2211
Alphington,4,1717500,6.4,3078,4,2,1,599,203,2211
Alphington,5,2840000,6.4,3078,5,4,4,809,165,2211
Alphington,2,525500,6.4,3078,2,1,1,88,60,2211
Alphington,2,805000,6.4,3078,2,2,3,155,140,2211
Alphington,2,465000,6.4,3078,2,1,1,0,,2211
Alphington,3,2000000,6.4,3078,3,3,2,686,,2211
Alphington,3,1540000,6.4,3078,3,1,2,592,,2211
Alphington,2,820000,6.4,3078,2,1,1,183,,2211
Alphington,4,1830000,6.4,3078,4,2,2,606,112,2211
Alphington,4,2100000,6.4,3078,4,2,2,575,271,2211
Alphington,3,865000,6.4,3078,3,1,1,180,131,2211
Alphington,2,390000,6.4,3078,2,1,1,0,60,2211
Alphington,2,650000,6.4,3078,0,1,0,0,,2211
Alphington,2,512000,6.4,3078,2,1,1,0,61,2211
Alphington,3,1165000,6.4,3078,3,1,2,979,,2211
Alphington,4,1900000,6.4,3078,4,2,2,556,272,2211
Alphington,3,1485000,6.4,3078,3,0,0,597,,2211
Alphington,4,1950000,6.4,3078,4,2,3,589,210,2211
Altona,3,520000,13.8,3018,3,2,1,352,242,5301
Altona,5,1525000,13.8,3018,5,3,3,729,268,5301
Altona,2,720000,13.8,3018,2,1,2,292,125,5301
Altona,3,1120000,13.8,3018,3,1,2,506,120,5301
Altona,4,780000,13.8,3018,4,1,4,655,,5301
Altona,4,1780000,13.8,3018,4,3,6,1057,220,5301
Altona,3,630000,13.8,3018,2,1,2,311,94,5301
Altona,2,406000,13.8,3018,2,1,1,65,,5301
Altona,3,660000,13.8,3018,3,1,1,602,123,5301
Altona,3,683500,13.8,3018,3,1,1,530,,5301
Altona,2,580000,13.8,3018,2,1,1,225,93,5301
Altona,3,1335000,13.8,3018,3,1,4,777,22,5301
Altona,3,800000,13.8,3018,3,2,2,280,,5301
Altona,2,510000,13.8,3018,2,1,1,127,76,5301
Altona,4,1070000,13.8,3018,4,2,2,695,,5301
Altona,2,425000,13.8,3018,2,1,2,115,57,5301
Altona,3,605000,13.8,3018,3,2,2,230,,5301
Altona,3,705000,13.8,3018,3,2,2,197,152,5301
Altona,2,391000,13.8,3018,2,1,1,0,65,5301
Altona,2,440000,13.8,3018,2,1,1,0,,5301
Altona,4,845000,13.8,3018,4,1,2,745,130,5301
Altona,3,743000,13.8,3018,3,2,2,211,176,5301
Altona,3,730000,13.8,3018,3,2,1,69,141,5301
Altona,3,635000,13.8,3018,3,1,4,625,,5301
Altona,2,620000,13.8,3018,2,1,1,168,,5301
Altona,2,447000,13.8,3018,2,1,1,137,77,5301
Altona,3,730000,13.8,3018,3,2,1,70,,5301
Altona,3,678000,13.8,3018,3,1,2,606,87,5301
Altona,2,580000,13.8,3018,2,2,1,175,76,5301
Altona,3,712000,13.8,3018,3,1,2,363,,5301
Altona,3,840000,13.8,3018,3,2,2,534,136,5301
Altona,3,980000,13.8,3018,3,1,2,724,,5301
Altona,3,605100,13.8,3018,3,2,0,265,,5301
Altona,3,880000,13.8,3018,3,3,1,577,,5301
Altona,3,577000,13.8,3018,3,2,1,205,113,5301
Altona,4,1030000,13.8,3018,4,1,0,797,,5301
Altona,3,605000,13.8,3018,3,1,2,181,,5301
Altona,3,753000,13.8,3018,3,2,2,529,,5301
Altona,2,857000,13.8,3018,2,2,1,675,100,5301
Altona,3,1500000,13.8,3018,3,1,1,929,,5301
Altona,3,730000,13.8,3018,3,2,1,70,3,5301
Altona,3,900000,13.8,3018,3,1,4,697,,5301
Altona,3,740000,13.8,3018,3,1,2,604,,5301
Altona,4,931000,13.8,3018,4,2,3,532,,5301
Altona,2,535600,13.8,3018,2,1,1,154,91,5301
Altona North,5,1085000,11.1,3025,5,3,6,592,251,5132
Altona North,3,781000,11.1,3025,3,1,2,533,117,5132
Altona North,3,750000,11.1,3025,3,1,3,554,,5132
Altona North,2,421000,11.1,3025,2,1,1,77,77,5132
